Movie Name,Rating,Rating,Category,Description,Director
Chinatown,8.2/10,8.2/10,Drama,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski
"Lock, Stock and Two Smoking Barrels",8.2/10,8.2/10,Action,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",Guy Ritchie
Shutter Island,8.2/10,8.2/10,Mystery,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Martin Scorsese
The Gold Rush,8.2/10,8.2/10,Adventure,A prospector goes to the Klondike in search of gold and finds it and more.,Charles Chaplin
No Country for Old Men,8.1/10,8.1/10,Crime,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Ethan Coen
Dial M for Murder,8.2/10,8.2/10,Crime,A former tennis player tries to arrange his wife's murder after learning of her affair.,Alfred Hitchcock
Det sjunde inseglet,8.2/10,8.2/10,Drama,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman
"Three Billboards Outside Ebbing, Missouri",8.1/10,8.1/10,Comedy,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh
The Elephant Man,8.1/10,8.1/10,Biography,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, inte... Read all",David Lynch
The Thing,8.1/10,8.1/10,Horror,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter
